Call Sign,POPs
WHQ281,5992641
WHQ301,682475
WHQ304,257042
WHQ305,1031737
WHQ373,776260
WHQ374,277797
WHQ380,326687
WHQ396,237191
WHQ397,623587
WHQ402,260406
WHQ403,1882294
WHQ405,382362
WHQ422,4283030
WHQ445,114853
WHQ446,820475
WHR453,1263508
WHR454,1066308
WHR456,576744
WHR457,234702
WHR458,231058
WHR460,1908763
WHR461,5474528
WHR462,1053226
WHR463,9794413
WHR466,2536562
WHR467,2356952
WHR470,210850
WHR471,307630
WHR472,324159
WHR473,202015
WHR474,1349918
WHR476,206023
WHR477,994734
WHR479,467840
WHR480,313484
WHR481,1034155
WHR485,360743
WHR486,587014
WHR487,3054039
WHR488,2833771
WHR489,743273
WHR490,742555
WHR491,732066
WHR492,5992641
WHR493,2409871
WHR494,592099
WHR497,3237015
WHR498,5501127
WHR500,197479
WHR502,861934
WHR504,234900
WHR505,9794413
WHR506,2436224
WHR508,4244844
WHR509,1566509
WHR511,1806423
WHR512,2268397
WHR513,1060417
WHR514,1918872
WHR515,2391385
WHR518,2527224
WHR519,202556
WHR520,13564481
WHR521,2849607
WHR522,2365377
WHR523,1811047
WHR526,1656513
WHR527,5841534
WHR528,3871054
WHR529,676448
WHR531,1819603
WHR532,1931824
WHR533,1296058
WHR535,1993768
WHR536,2405163
WHR537,1221769
WHR543,2391289
WHR551,876179
WHR559,1354109
WHR576,261275
WHR580,278210
WHR584,1534034
WHR586,996049
WHR588,2473896
WHR590,1688238
WHR591,573328
WHR596,498316
WHR598,496525
WHR601,909145
WHR610,353097
WHR611,1883351
WHR612,720861
WHR613,78678
WHR614,363767
WHR617,248987
WHR619,1766200
WHR621,1022401
WHR622,3814200
WHR624,1658393
WHR626,687076
WHR630,192034
WHR632,661694
WHR636,3313274
WHR636,3313274
WHR644,573971
WHR648,251456
WHR649,1475290
WHR650,1093761
WHR651,1425435
WHR656,898478
WHR657,1628453
WHR658,573752
WHR658,573752
WHR659,592516
WHR660,64439
WHR661,544661
WHR662,1925330
WHR663,43918
WHR664,3040822
WHR666,523550
WHR669,270249
WHR670,511914
WHR671,699587
WHR672,887616
WHR673,617154
WND596,891617
WHR681,1060592
WHR682,165183
WHR682,165183
WHR683,648574
WHR684,665245
WHR685,457593
WHR686,417925
WHR688,677933
WHR689,677933
WHR691,4981736
WHR694,759041
WHR695,257875
WHR696,633505
WHR697,1644275
WHR698,168706
WHR699,112737
WHR700,116499
WHR701,169931
WHR707,144444
WHR708,100882
WHR709,67091
WHR710,80375
WHR711,144444
WHR712,67091
WHR714,953207
WHR716,953207
WHR717,10480
WHR718,369751
WHR724,843346
WHR726,198105
WHR727,468741
WHR729,925067
WHR730,66161
WHR731,86779
WHR732,994881
WHR733,994881
WHR736,698027
WHR737,186692
WHR746,2391385
WHR748,389438
WNC587,889746
WHR750,383557
WHR751,202094
WHR752,271925
WHR753,299209
WHR754,193410
WHR755,4620211
WOG94,703851
WHR757,453785
WHR758,1976745
WHR760,2670507
WHR761,1063047
WHR765,92775
WHR767,1301961
WHR769,1361546
WHR770,509719
WHR771,650682
WHR772,2188922
WHR773,447084
WHR774,186119
WHR777,1969814
WHR779,626403
WHR780,2833771
WHR783,523810
WHR784,92727
WHR790,3500726
WHR791,1339876
WHR795,474492
WHR797,701911
WHR798,660770
WHR800,211772
WHR801,195865
WHR802,9141330
WHR803,66922
WHR804,166876
WHR805,71745
WHR806,2473896
WHR807,2301728
WHR808,1583881
WHR810,1826560
WHR814,1473992
WHR815,766963
WHR816,572309
WHR817,579347
WHR818,771467
WHR819,84559
WHR820,647054
WHR821,2991648
WHR822,2469164
WHR823,119482
WHR825,335895
WHR826,1617578
WHR827,664970
WHR828,15075660
WHR829,15070030
WHR830,4407301
WHR831,4408402
WHR832,467404
WLX765,616769
WHR834,465905
WHR835,462772
WHR838,684380
WHR839,306548
WHR841,1414596
WHR842,1707284
WHR845,1988099
WHR847,396979
WHR850,2076804
WHR853,71745
WHR853,71745
WHR854,3589200
WHR858,1351869
WHR864,2473896
WHR865,2473896
WHR866,2434421
WHR872,3494585
WHR873,590720
WHR877,1457774
WHR878,39749
WLX983,547210
WHR881,2405303
WHR882,4612874
WHR883,2380195
WHR884,290333
WHR885,955433
WHR886,956599
WHR889,216571
WHR890,937908
WHR894,1457774
WHR895,1696415
WHR896,1482944
WHR897,2302054
WHR899,215865
WHR901,1179689
WHR903,468400
WHR904,602398
WHR905,50610
WHR912,1001721
WHR913,1060417
WHR914,4289564
WHR915,4178656
WHR916,4251850
WHR917,2666145
WHR918,1001721
WHR919,4293529
WHR920,2227306
WHR921,648116
WHR922,212602
WHR925,377591
WHR926,146211
WHR927,591605
WHR928,961551
WHR929,771423
WHR930,872807
WHR931,915466
WHR932,1098592
WHR934,631522
WHR939,1233248
WHR940,1646884
WHR941,1098229
WHR942,111614
WHR943,727082
WHR944,285333
WNC785,476036
WHR953,258452
WNC790,476036
WHR956,304929
WHG356,468119
WHR961,331178
WHR962,1021499
WHR963,1021791
WHR964,1021791
WHR965,184089
WHR966,293219
WHR967,504379
WHR968,468221
WHR969,383711
WHR970,629750
WHR971,1731571
WHR972,1370406
WHR974,363704
WHR977,634099
WHR978,1118051
WHR981,643632
WHR982,573682
WHR983,175827
WHR985,170378
WHR986,24305
WHR987,39659
WHR988,177925
WHR991,62476
WHR992,228430
WHR993,94864
WHR995,468400
WHR996,17750
WHR997,111173
WHR998,45599
WHR999,45995
WIG34,360508
WLX200,3313274
WLX201,1999329
WLX202,524351
WLX203,23415
WLX205,515735
WLX206,451202
WLX207,1120483
WLX209,160755
WLX210,213300
WLX211,68773
WLX212,72266
WLX213,232790
WLX214,631522
WLX215,201482
WLX216,27640
WLX217,29530
WLX218,17450
WLX219,28545
WLX220,460281
WLX221,994881
WLX222,156911
WLX223,994881
WLX224,994881
WLX225,309714
WLX226,2138404
WLX227,2323702
WLX231,180324
WLX232,64177
WLX234,69253
WLX235,2141575
WLX236,660770
WLX237,2391385
WLX238,1055967
WLX240,517433
WLX241,697116
WLX242,310416
WLX244,280029
WLX245,759041
WLX247,1110389
WLX248,2192527
WLX249,456740
WLX250,2578518
WLX250,2578518
WLX251,1329668
WLX253,705450
WLX254,2026042
WLX255,1629335
WLX256,1656513
WLX257,663542
WLX260,122618
WLX261,4236
WLX262,464456
WLX263,1875280
WLX265,215865
WLX265,215865
WNC436,465803
WLX268,251277
WLX270,765312
WLX271,1862596
WLX272,988129
WLX273,647239
WLX275,951867
WLX276,676448
WLX277,701124
WLX278,309304
WLX279,696319
WLX280,85361
WLX281,75704
WLX282,75090
WLX283,80248
WLX285,731639
WLX288,45809
WLX289,654781
WLX290,654781
WLX291,705450
WLX292,700980
WLX293,630115
WLX294,636761
WLX295,1600924
WLX296,75810
WLX297,344197
WLX299,3161023
WLX300,238427
WLX303,219154
WLX304,128533
WLX305,356317
WLX306,644140
WLX307,505644
WLX308,336319
WLX309,2261910
WLX310,287323
WLX311,170040
WLX312,170374
WLX313,170708
WLX314,759041
WLX315,1609196
WLX316,344197
WLX317,344219
WLX318,339802
WLX319,344197
WLX321,2280542
WLX322,1997040
WLX323,1997040
WLX323,1997040
WLX327,374670
WLX328,2227306
WLX329,69412
WLX330,344309
WLX331,374670
WLX332,308787
WLX334,123833
WLX335,369419
WLX336,836101
WLX337,1315009
WNC463,465682
WLX339,69412
WLX340,69507
WLX344,299754
WLX345,701940
WLX346,96121
WLX350,204727
WLX351,1072702
WLX352,515193
WLX353,308788
WLX354,650010
WLX356,420388
WLX357,420388
WLX358,420388
WLX359,420388
WLX360,70492
WLX361,759041
WLX362,2371814
WLX364,284985
WLX365,310103
WLX367,1057350
WLX369,170040
WLX369,170040
WLX370,2141344
WLX371,1600924
WLX372,701911
WLX374,130252
WLX375,1284815
WLX376,146237
WLX377,140058
WLX378,144973
WLX379,146237
WLX380,140128
WLX381,701766
WLX382,237529
WLX384,953207
WLX385,728628
WLX386,235782
WLX387,236543
WLX388,235782
WLX389,235782
WLX390,235782
WLX391,726641
WLX392,642735
WLX394,105714
WLX395,92291
WLX397,899613
WLX398,63442
WLX399,65385
WNC437,444318
WLX401,479246
WLX402,92291
WLX403,1851462
WLX404,416251
WLX407,63198
WLX408,149834
WLX408,149834
WLX409,149834
WLX409,149834
WLX410,149834
WLX411,246446
WLX412,246446
WLX412,246446
WLX413,246446
WLX413,246446
WLX414,84709
WLX414,84709
WLX415,77087
WLX415,77087
WLX416,77087
WLX417,333369
WLX417,333369
WLX418,361965
WLX419,350921
WLX419,350921
WLX420,503357
WLX420,503357
WLX421,569138
WLX422,569138
WLX422,569138
WLX423,743273
WLX424,492754
WLX426,43806
WNC415,414070
WLX430,63198
WLX431,142231
WLX432,152892
WLX433,154271
WLX434,153066
WLX435,1871271
WLX436,1914052
WLX437,149702
WNC747,412613
WLX443,328838
WLX444,191966
WLX445,210181
WLX446,208890
WLX447,208850
WLX448,212521
WLX449,191691
WLX450,70053
WLX451,153075
WLX451,153075
WLX452,154470
WLX452,154470
WLX453,81732
WLX454,63500
WLX456,789185
WLX457,743273
WLX458,231054
WLX460,670642
WLX461,53834
WLX463,80909
WLX464,162842
WLX464,162842
WLX465,143410
WLX465,143410
WLX466,350921
WLX466,350921
WLX467,141526
WLX467,141526
WLX468,143410
WLX469,306842
WLX470,1021791
WLX471,80909
WLX471,80909
WLX473,63112
WLX474,246446
WLX474,246446
WLX475,136277
WLX475,136277
WLX476,1012751
WLX477,167750
WLX477,167750
WLX478,569138
WLX478,569138
WLX479,149834
WLX479,149834
WLX481,745779
WLX482,7871489
WLX483,136277
WLX483,136277
WLX484,136277
WLX485,143715
WLX485,143715
WLX486,308788
WLX487,1803189
WLX488,119050
WLX488,119050
WLX489,77087
WLX489,77087
WLX490,515218
WLX491,609543
WLX492,167750
WLX493,167750
WLX493,167750
WLX494,167652
WLX494,167652
WLX496,119050
WLX496,119050
WLX497,119050
WLX497,119050
WLX498,124594
WLX499,256335
WLX499,256335
WLX500,256377
WLX500,256377
WLX501,256377
WLX501,256377
WLX502,256141
WLX503,148326
WLX504,41218
WLX505,96876
WLX507,96876
WLX508,289820
WLX509,143410
WLX509,143410
WLX510,602860
WLX512,80909
WLX512,80909
WLX513,191691
WLX514,676448
WLX515,676448
WLX516,676448
WNC292,410000
WLX518,282231
WLX519,282163
WLX520,142193
WLX521,186305
WLX522,219895
WLX523,301313
WLX524,282231
WLX525,47517
WLX526,2849607
WLX527,458225
WLX528,458184
WLX529,458265
WLX529,458265
WLX531,1377893
WLX532,478471
WLX533,86032
WLX534,900794
WLX536,1057354
WLX537,2168965
WLX538,1355441
WLX539,1937801
WHR833,392433
WLX541,153975
WLX543,1057354
WLX544,142709
WLX545,186093
WLX546,3239171
WLX547,211326
WLX548,143490
WLX550,702085
WLX551,152458
WLX552,174017
WLX553,104590
WLX554,103148
WLX555,108096
WLX557,1275670
WLX558,152458
WLX559,175792
WLX561,85779
WLX562,85258
WLX563,1664395
WLX564,16560
WLX565,2306312
WLX566,4352216
WLX567,16560
WLX568,1136425
WLX569,2651679
WLX571,1385067
WLX572,1290665
WLX573,1221792
WLX574,287630
WLX575,2013836
WLX576,49408
WLX578,4352216
WLX580,52065
WLX581,509889
WLX582,86032
WLX583,180834
WLX584,1161408
WLX585,86197
WLX586,319738
WLX587,304027
WLX588,222206
WLX589,84251
WLX590,157748
WLX866,375570
WLX592,1937801
WLX593,458454
WLX594,89416
WLX595,89416
WLX597,267345
WLX600,117686
WNC675,358888
WLX603,89416
WLX604,117686
WLX605,115477
WLX606,166854
KXY61,357857
WLX608,162351
WLX338,344219
WLX610,431790
WLX612,298044
WLX613,1057354
WLX615,117686
WLX616,534677
WLX617,167278
WLX618,253817
WLX619,193673
WLX620,161343
WLX621,167278
WLX622,91655
WLX623,234523
WLX624,88823
WLX625,210791
WLX626,61394
WLX630,7654900
WLX631,18658
WLX634,250501
WLX640,26354
WLX641,114563
WLX642,532638
WLX643,115212
WLX644,96621
WLX645,148354
WLX646,96621
WLX647,1655855
WLX648,629198
WLX649,2440362
WLX651,1355439
WLX652,495094
WND220,342315
WLX654,98196
WLX655,213311
WLX656,213311
WLX658,162129
WLX659,198250
WLX661,1136718
WLX662,617672
WLX663,650521
WLX664,1787523
WLX666,495094
WLX667,1803189
WLX668,135812
WLX669,166032
WLX670,394048
WLX671,1170657
WLX672,1354797
WLX673,875112
WLX676,267345
WLX677,191493
WLX678,548130
WLX679,81298
WLX680,234571
WLX681,2391289
WLX682,751376
WLX683,229105
WLX684,1564624
WLX685,54654
WLX686,41942
WLX687,189190
WLX688,21617
WLX689,339802
WLX690,1947947
WLX691,49408
WND219,329082
WLX693,166056
WLX694,2141344
WLX695,495094
WLX698,610227
WLX699,1803189
WLX700,88162
WLX701,367715
WLX702,214132
WLX703,45073
WLX704,2372142
WLX705,149856
WLX706,121775
WLX708,439045
WLX709,1806423
WLX710,189378
WLX713,131771
WLX714,222206
WLX717,126642
WLX718,18741
WLX720,2105760
WLX852,328370
WLX724,584486
WLX725,391984
WLX726,3890428
WLX728,824647
WLX728,824647
WLX729,67628
WLX730,86032
WNC220,289712
WLX732,89416
WLX734,136501
WLX735,2105760
WLX736,362687
WLX737,238187
WLX738,168326
WLX739,391049
WLX740,149890
WLX741,124594
WLX742,135724
WLX743,271229
WLX744,569138
WLX745,246446
WLX746,77087
WLX747,271229
WLX748,255913
WLX749,80909
WLX750,143410
WLX751,329082
WLX752,96845
WLX753,1057354
WLX754,211148
WLX755,271229
WLX756,16560
WLX758,123833
WLX759,2473896
WLX760,145102
WLX761,245065
WLX762,321408
WLX762,321408
WLX764,271036
WNC223,289712
WLX766,659425
WLX767,140291
WLX768,191964
WLX769,301964
WLX770,981377
WLX772,128669
WLX773,2390758
WLX775,140757
WLX776,143099
WLX777,271229
WLX779,49408
WLX780,588249
WLX783,143099
WLX784,266058
WLX785,176741
WLX844,301964
WLX787,2666196
WLX788,266276
WLX789,2714676
WLX790,2666196
WLX792,211064
WLX793,152082
WLX794,524296
WLX795,375570
WLX796,90049
WLX797,410549
WLX798,72783
WLX799,84885
WLX800,72781
WLX801,72781
WLX802,290193
WLX803,2141344
WLX804,301051
WLX805,1955893
WLX806,169241
WLX807,285019
WLX808,278818
WLX812,70770
WLX813,677933
WLX814,468119
WLX815,1979269
WLX816,4419297
WLX817,245947
WLX818,245947
WLX819,270495
WLX820,377958
WLX821,172342
WLX822,4908052
WLX823,5403767
WLX824,4147857
WLX825,4908052
WLX827,290090
WLX828,93101
WLX829,677078
WLX830,370381
WLX831,1723047
WLX832,676478
WLX833,659484
WLX834,283204
WLX835,143099
WLX836,271229
WLX837,283204
WLX838,245504
WLX839,522486
WLX840,823855
WLX841,541045
WLX842,172342
WLX843,3240079
WNC305,280468
WLX845,132284
WLX846,248264
WLX848,820903
WLX849,137890
WLX850,456848
WLX850,456848
WLX851,784805
WND207,298044
WLX853,35999
WLX854,391049
WLX855,101118
WLX856,266269
WLX860,211064
WLX861,375545
WLX862,511656
WLX517,282137
WLX864,474197
WNC468,281953
WNC586,275342
WLX867,266048
WLX868,172605
WQCV825,275342
WLX870,1057354
WLX871,456848
WLX871,456848
WLX872,149284
WLX873,226492
WLX874,2337095
WLX875,305700
WLX876,140784
WLX877,240106
WLX878,538068
WLX879,304175
WLX880,538068
WLX881,538068
WLX882,8310
WLX883,545031
WLX884,704234
WLX885,428525
WLX885,428525
WLX886,102800
WLX887,541045
WLX888,704234
WLX890,133224
WLX891,121801
WLX892,29095
WLX893,83836
WLX894,123663
WLX897,211064
WLX900,45809
WLX903,83847
WLX904,222206
WLX905,324855
WLX905,324855
WLX906,820569
WLX907,1275670
WLX908,456679
WLX908,456679
WLX914,820903
WLX915,49909
WLX916,226492
WLX917,96685
WLX918,309563
WLX919,209392
WLX920,96726
WLX922,1419408
WLX923,86003
WLX924,392975
WLX925,65854
WLX926,474197
WLX927,140463
WLX928,340849
WLX929,788456
WLX930,1362846
WLX931,283204
WLX932,76665
WLX933,110061
WLX935,70770
WLX936,65381
WLX938,8310
WLX939,439045
WLX940,1617132
WLX941,642735
WND283,267628
WLX943,604378
WLX945,410000
WLX946,907458
WLX948,379592
WLX949,622884
WLX950,1228673
WLX951,492956
WLX954,668315
WLX955,668315
WLX956,668315
WLX958,80576
WLX961,55544
WLX962,1066308
WLX964,36152
WNC307,266104
WLX966,127345
WLX967,140757
WLX972,238869
WLX974,69781
WLX975,298484
WLX977,324855
WLX978,1582268
WLX979,320919
WLX980,8310
WLX981,1145405
WNC304,256944
WLX985,57308
WLX986,83836
WLX987,324855
WLX988,65499
WLX989,615899
WLX990,615571
WLX992,875112
WLX993,90781
WLX994,302983
WLX996,432121
WLX997,54633
WLX998,349287
WLX999,233442
WMX622,445754
WMX623,445754
WMX624,234606
WMX625,234606
WMX626,609565
WMX627,285019
WMX628,311777
WMX629,451928
WMX631,210631
WMX634,125367
WMX636,61661
WMX637,29289
WMX638,507806
WMX639,189180
WMX640,474027
WMX641,29289
WMX644,677933
WMX645,192109
WMX646,677933
WMX647,285805
WMX648,115141
WMX649,119495
WMX650,292818
WMX652,209392
WMX653,209392
WMX656,144178
WMX659,298484
WMX660,298484
WNC713,244806
WNC692,234021
WNC830,231230
WNC535,231196
WNC687,213047
WNC636,213022
WMX667,89652
WMX668,204590
WMX671,235668
WMX672,52852
WMX673,54391
WMX674,267628
WMX675,303825
WMX676,700864
WMX678,144178
WMX680,267628
WMX683,125367
WMX684,204590
WMX685,52852
WND293,211112
WNC345,199297
WMX691,351207
WMX692,80848
WMX693,80848
WNC510,195311
WNC341,192714
WMX712,30115
WMX713,1199018
WNC590,186364
WNC594,186215
WMX716,30115
WMX717,54391
WMY277,89754
WMY278,89754
WMY279,91731
WNC200,245154
WNC201,167278
WNC202,1161408
WNC203,700864
WNC204,82492
WNC205,474465
WNC206,474492
WNC207,474492
WNC208,5992641
WNC211,147496
WNC213,246618
WNC215,76665
WNC216,35999
WNC218,109333
WHR950,183914
WNC221,95051
WNC222,354169
WLX368,170708
WNC226,152082
WNC227,137890
WNC228,92775
WNC229,165183
WNC229,165183
WNC231,517320
WNC232,316788
WNC233,165183
WNC233,165183
WQCN270,163964
WNC235,367711
WNC236,517320
WNC237,517320
WNC238,517320
WNC239,456937
WNC240,907468
WNC241,907468
WNC242,907468
WNC243,410000
WNC244,410000
WNC245,410000
WNC246,818212
WNC247,841765
WNC248,820739
WNC249,820738
WNC250,91881
WNC251,265717
WNC254,165867
WNC255,199412
WNC256,226717
WNC257,168584
WNC258,93696
WNC260,548130
WNC261,953207
WNC262,111153
WNC266,570080
WNC267,615571
WNC268,81751
WNC275,870238
WNC276,141332
WNC277,229680
WNC278,173594
WNC280,137997
WNC283,103969
WNC285,148387
WNC286,403695
WNC287,383916
WNC288,111585
WNC289,231555
WNC290,1363443
WNC291,193673
WLX540,153376
WNC293,511914
WNC294,203994
WNC297,607344
WNC298,789167
WNC299,789185
WNC300,4128
WNC301,65844
WNC303,76937
WLX609,157570
WLX863,149284
WQCI646,149163
WNC308,1704871
WNC309,319046
WNC310,319046
WNC314,232179
WNC315,264634
WNC316,36152
WNC317,412471
WNC318,412471
WNC321,2647901
WNC322,117732
WNC323,104150
WNC324,495094
WNC325,49179
WLX591,148116
WNC329,60832
WNC330,50794
WNC331,50973
WNC332,50973
WLX438,148096
WNC334,104150
WNC335,495094
WNC337,169241
WNC338,1161421
WNC339,191387
WNC340,102800
WNC913,137710
WNC342,51989
WNC343,47596
WNC344,51989
WND421,133013
WNC346,381079
WNC348,140757
WNC349,907468
WNC350,262475
WNC351,262475
WNC352,147480
WNC353,1161408
WNC354,64807
WNC356,888743
WNC357,233442
WNC358,1274881
WNC359,1363218
WNC360,264696
WNC362,90861
WNC363,1275670
WNC364,86032
WNC365,134960
WNC366,402735
WNC367,204068
WNC368,305061
WNC369,305298
WNC370,304779
WNC372,245315
WNC373,875112
WNC374,216422
WNC375,264634
WNC376,116457
WNC377,178558
WNC378,55544
WNC379,497148
WNC380,95051
WNC381,3871054
WNC383,289132
WNC384,472432
WNC385,891463
WNC386,319738
WNC387,264696
WNC388,289116
WNC389,375545
WNC390,375545
WNC392,97483
WNC393,78992
WNC397,223327
WNC398,70901
WNC399,207715
WNC400,55209
WNC401,616816
WNC402,42255
WNC403,99739
WNC404,95975
WNC405,439045
WNC406,354011
WNC407,189180
WQCN711,132023
WNC410,120711
WNC411,354417
WNC412,99779
WNC414,714651
WNC409,126349
WNC416,111241
WNC417,119514
WLX731,115486
WNC421,244177
WNC422,550853
WNC424,48009
WNC425,203994
WNC426,37871
WNC428,73888
WNC430,266512
WNC434,179316
WNC435,1161408
WND232,114690
WHG355,114565
WNC438,62619
WNC439,62619
WNC441,375597
WNC442,62619
WNC445,268856
WNC446,65845
WNC447,65854
WNC448,1375574
WNC449,1295989
WNC450,597466
WNC451,522486
WNC452,493594
WNC453,92598
WNC454,92247
WNC455,8310
WNC456,329082
WNC457,329082
WNC458,8341
WNC459,59899
WNC461,110222
WNC462,109128
WNC418,111241
WNC465,373016
WNC466,668315
WND228,110558
WNC470,650682
WNC471,650589
WNC472,788268
WNC474,81284
WNC476,81284
WNC476,81284
WNC477,81284
WNC478,233442
WNC479,302400
WNC480,81189
WNC483,1145180
WNC484,2168965
WNC486,1098143
WNC487,384523
WNC489,1258457
WNC491,1258457
WNC492,155868
WNC494,231402
WNC495,231402
WNC495,231402
WNC499,205914
WNC500,102783
WNC501,102116
WNC502,121801
WNC503,121801
WNC504,83836
WNC505,83836
WNC508,1969814
WNC509,485284
WND569,150371
WNC511,97766
WNC513,193326
WNC514,359629
WNC515,885518
WNC516,156025
WNC517,85579
WNC518,332491
WNC519,334387
WNC521,1596332
WNC523,123529
WNC524,210791
WNC525,188268
WNC526,384523
WNC527,384523
WNC528,42603
WNC529,255662
WNC530,63604
WNC531,270249
WNC533,55621
WNC534,180420
WLX722,107211
WNC538,720010
WNC539,863952
WNC540,384523
WNC542,127301
WNC544,189395
WNC546,271925
WNC547,278017
WNC548,93302
WNC549,54850
WNC552,307976
WNC557,336319
WNC558,1979269
WNC560,4528463
WNC561,4526808
WND294,106654
WNC563,224802
WNC564,322643
WNC565,772484
WNC566,8914633
WNC569,239848
WNC572,820903
WNC574,388522
WNC575,205985
WLX653,101118
WNC582,4622174
WNC583,909182
WNC584,889746
WNC585,275342
WHR879,99933
WND249,98658
WNC588,165183
WNC588,165183
WHR954,94021
WNC591,116079
WNC592,116061
WLX786,90668
WNC595,91881
WNC596,89208
WNC597,91881
WNC333,110774
WNC601,118481
WNC602,345484
WNC607,373076
WNC608,373076
WNC609,373076
WNC610,686543
WNC612,334387
WNC613,334387
WNC614,295154
WNC615,263315
WNC616,372726
WNC617,409318
WNC618,409318
WNC619,44715
WNC620,372726
WNC621,119170
WNC622,372726
WNC623,119170
WNC647,68597
WNC627,188268
WNC628,184356
WNC629,188268
WNC630,188268
WNC631,55691
WNC632,89459
WNC633,592860
WND529,68597
WNC637,454626
WNC638,1258457
WNC639,355794
WNC641,85577
WNC644,191493
WNC645,1549665
WHR756,66297
WNC648,1258457
WNC649,293540
WNC650,290930
WNC651,298759
WNC652,298759
WNC653,938635
WNC654,298307
WNC655,148326
WNC658,146600
WNC660,60225
WNC661,141708
WNC662,59127
WNC664,2390333
WNC665,714435
WNC669,211904
WLX400,65385
WNC676,485755
WNC678,1419769
WNC679,388199
WNC681,1656513
WNC682,180280
WNC684,592704
WNC685,111592
WNC686,1098143
WLX428,64566
WNC689,584835
WND231,60850
WNC693,1033696
WNC694,387545
WNC695,282551
WNC696,60225
WNC697,167676
WNC698,332294
WNC698,332294
WNC699,358888
WNC700,615259
WNC700,615259
WNC701,381079
WNC702,111078
WNC703,186013
WNC705,4393526
WNC706,332294
WNC706,332294
WNC707,584835
WNC708,2712086
WNC709,220378
WNC711,141708
WNC712,118481
WNC972,59175
WNC715,4291
WNC717,650589
WNC718,662800
WNC723,123833
WNC724,522209
WNC725,615259
WNC725,615259
WNC728,141725
WNC729,81732
WNC731,144188
WNC732,319738
WNC733,348761
WNC734,348761
WNC735,677933
WNC736,114583
WNC738,144188
WNC740,114583
WNC742,190534
WNC743,114583
WNC746,190534
WLX865,57901
WNC748,714623
WNC749,284976
WNC750,250501
WNC751,250501
WNC753,46483
WNC755,46483
WNC756,46483
WND484,55440
WNC759,298484
